local_account,local_label,code_i,code_ii,code_iii
70153000,VENTES MAGE ASIA PACIFIC (HONG KONG,FE,FF,FE
70153100,VENTE CEINTURE HK,FE,FF,FE
70153200,VTES PF PETITE MARO HK,FE,FF,FE
70153300,VENTES MAROQUINERIE MAGE AP,FE,FF,FE
70154000,VENTES MAGE MIDDLE EAST (DUBAI),FE,FF,FE
70154100,VENTE CEINTURE DUBAI,FE,FF,FE
70154200,VENTES PF PETITE MARO CORTHAY DUBAI,FE,FF,FE
70154300,VENTES MAROQUINERIE CORTHAY DUBAI,FE,FF,FE
70155000,VENTE MAGE KOREA,FE,FF,FE
70155100,VENTE CEINTURE KOREA,FE,FF,FE
70155200,VENTES PF PETITE MARO MAGE KOREA,FE,FF,FE
70155300,VENTES MAROQUINERIE MAGE KOREA,FE,FF,FE
70156000,VENTE MAGE AFRIQUE DU SUD,FE,FF,FE
70156100,VENTE CEINTURE MAGE AFRIQUE DU SUD,FE,FF,FE
70156200,VENTES PF P. MARO. MAGE DISTRBUTORS,FE,FF,FE
70156300,VENTES MAROQUINERIE MAGE DISTRIBUTO,FE,FF,FE
70157000,VENTE MAGE CHINE,FE,FF,FE
70157100,VENTE CEINTURE CHINE,FE,FF,FE
70157200,VENTE PETITE MARO. MAGE CHINE,FE,FF,FE
70157300,VENTE MAROQUINERIE MAGE CHINE,FE,FF,FE
70158000,VENTES VOLNEY UK,FE,FF,FE
70158100,VENTES CEINTURES VOLNEY UK,FE,FF,FE
70158200,VENTES PF PETITE MARO VOLNEY UK,FE,FF,FE
70158300,VENTE MAROQUINERIE VOLNEY UK,FE,FF,FE
70160000,VENTES SANDALES FILIALES EXPORT,FE,FF,FE
70610000,VENTE SERVICE VOLNEY,FG,FI,FG
70611000,VENTE SERVICE GALERIES LAFAYETTE,FG,FI,FG
70612000,VENTE SERVICE FRANCE DISTRIB,FG,FI,FG
70614000,VENTE SERVICE VOLNEY EXPORT,FH,FI,FH
70628000,VENTE SERVICE DISTRIB CEE,FH,FI,FH
70629000,VENTE SERVICE DISTRIB EXPORT,FH,FI,FH
70651000,VENTE SERVICE MAGE JAPON,FH,FI,FH
70652000,VENTE SERVICE CORTHAY UK,FH,FI,FH
70653000,VENTE SERVICE CORTHAY HK,FH,FI,FH
70654000,VENTS SERVICE CORTHAY DUBAI,FH,FI,FH
70655000,VENTE SERVICE MAGE KOREA,FH,FI,FH
70656000,VENTE SERVICE MAGE AFRIQUE DU SUD,FH,FI,FH
70657000,VENTE SERVICES MAGE SHANGHAI,FH,FI,FH
70658000,VENTES SERVICE VOLNEY UK,FH,FI,FH
70700000,VENTES MARCHANDISES VOLNEY,FA,FC,FA
70700040,VTES MARCH. LOAFER VOLNEY,FA,FC,FA
70700050,VTES MARCH. SNEAKER VOLNEY,FA,FC,FA
70704000,VENTES MARCHANDISES DISTRIB. EXP,FB,,
70704040,VTES MARCH. LOAFER VOLNEY EXPORT,FB,,
70704050,VTES MARCH. SNEAKERS VOLNEY EXP,FB,,
70704140,VTES MARCH. LOAFER ESHOP EXP,FB,,
70704150,VTES MARCH. SNEAKER ESHOP EXP,FB,,
70704240,VTES MARCH. LOAFER DISTRIB. EXPORT,FB,,
70704250,VTES MARCH. SNEAKERS DISTR EXP,FB,FC,FB
70704340,VTES MARCH. LOAFER MAGE HK,FB,,
70704350,VTES MARCH. SNEAKERS MAGE HK,FB,FC,FB
70704400,VTES MARCH. LOAFERS MAGE JAPON,FB,,
70711000,VENTE VOLNEY MARCHANDISES 20%,FA,FC,FA
70711100,VTE VOLNEY MARCHANDISE BESPOKE SHOE,FA,FC,FA
70712000,VENTE MARCHANDISES GL,FA,FC,FA
70720000,VENTE MARCHANDISES DISTRI FRANCE,FA,FC,FA
70729000,VENTE MARCHANDISES DISTRI EXPO,FB,FC,FB
70740000,VTE VOLNEY MARCHANDISES EXPORT,FB,FC,FB
70741000,VTE BESPOKE SHOES EXPORT,FB,FC,FB
70751000,VENTE MARCHANDISES MAGE JAPON,FB,FC,FB
70752000,VENTE MARCHANDISES MAGE UK,FB,FC,FB
70753000,VENTE MARCHANDISES MAGE HK,FB,FC,FB
70754000,VENTE MARCHANDISES MAGE DUBAI,FB,FC,FB
70755000,VENTE MARCHANDISES MAGE KOREA,FB,FC,FB
70756000,VENTE MARCHANDISES MAGE AFR. SUD,FB,FC,FB
70757000,VENTE MARCHANDISES MAGE CHINE,FB,FC,FB
70758000,VENTE MARCHANDISES VOLNEY UK,FB,FC,FB
70761000,VENTE PETITES MARO. HK,FB,FC,FB
70762000,VENTE PETITES MARO. UK,FB,FC,FB
70763000,VENTE PETITES MARO. VOLNEY,FA,FC,FA
70764000,VENTE PETITES MARO. JAPON,FB,FC,FB
70765000,VENTE PETITES MARO. DUBAI,FB,FC,FB
70766000,VENTE PETITES MARO. AFS,FB,FC,FB
70767000,VENTE PETITES MARO. KOREA,FB,FC,FB
70768000,VENTE PETITES MARO. CHINE,FB,FC,FB
70769000,VENTE PETITES MARO. GL,FA,FC,FA
70770000,VENTE PETITES MARO. DISTRIB. CEE,FB,FC,FB
70781100,VTE MARCHANDISES SNEAKER JAPON,FB,FC,FB
70781200,VTE MARCHANDISES SNEAKER UK,FB,FC,FB
70781210,VTE MARCHANDISES SNEAKER VOLNEY UK,FB,FC,FB
70781300,VTE MARCHANDISES SNEAKER VOLNEY,FA,FC,FA
70781304,VTE MARCHANDISES SNEAKER VOLNEY EXP,FB,FC,FB
70781350,VTE MARCHANDISES SNEAKER E-SHOP,FA,FC,FB
70781351,VTE MARCHANDISES SNEAKER E-SHOP UE,FB,,
70781354,VTE MARCHANDISES SNEAKER E-SHOP EXP,FB,FC,FB
70781400,VTE MARCHANDISES SNEAKER DUBAI,FB,FC,FB
70781500,VTE MARCHANDISES SNEAKER KOREA,FB,FC,FB
70781600,VTE MARCHANDISES SNEAKER MAGE DISTR,FB,FC,FB
70781700,VTE MARCHANDISES SNEAKER MAGE CHINE,FB,FC,FB
70781800,VTE MARCHANDISES SNEAKER HK,FB,FC,FB
70781900,VTE MARCHANDISES SNEAKER DIST EXPOR,FB,FC,FB
70781910,VTE MARCHANDISES SNEAKER DIST CEE,FB,FC,FB
70781920,VTE MARCHANDISES SNEAKER DIST FR,FA,,
70782000,VTE MARCHANDISES LOAFER DISTR FR,FA,FC,FA
70782800,VTE MARCHANDISES LOAFER DISTRIB CEE,FB,FC,FB
70782900,VTE MARCHANDISES LOAFER DIST EXPORT,FB,FC,FB
70785000,VTE MARCHANDISES LOAFER VOLNEY,FA,FC,FA
70785001,VTE MARCHANDISES LOAFER VOLNEY EXP,FB,FC,FB
70785100,VTE MARCHANDISES LOAFER MAGE JAPON,FB,FC,FB
70785200,VTE MARCHANDISES LOAFER CORTHAY UK,FB,FC,FB
70785210,VTE MARCHANDISES LOAFER VOLNEY UK,FB,FC,FB
70785300,VTE MARCHANDISES LOAFER MAGE AP,FB,FC,FB
70785400,VTE MARCHANDISES LOAFER MAGE DUBAI,FB,FC,FB
70785500,VTE MARCHANDISES LOAFER MAGE KOREA,FB,FC,FB
70785550,VTE MARCHANDISES LOAFER E-SHOP,FA,FC,FA
70785551,VTE MARCHANDISES LOAFER E-SHOP UE,FB,,
70785554,VTE MARCHANDISES LOAFER E-SHOP EXPO,FB,FC,FB
70785600,VTE MARCHANDISES LOAFER MAGE DISTRI,FB,FC,FB
70785700,VTE MARCHANDISES LOAFER MAGE CHINE,FB,FC,FB
70800000,PROD DES ACT ANNEXES INTRAGROUPE EX,FB,FC,FB
70801000,PROD ACCESSOIRES INTRAGROUPE EXP,FB,FC,FB
70810000,PROD DES ACT ANNEXE INTRAGROUPE UE,FB,FC,FB
70811000,PROD ACCESSOIRES INTRAGROUPE UE,FB,FC,FB
70820000,COMMISSION DETAXE,FG,FI,FG
70831000,REFACTURATION LOYER,FG,FI,FG
70840000,MANAGEMENT FEES HORS UE,FH,FI,FH
70841000,MANAGEMENT FEES UE,FH,FI,FH
70842000,REFACTURATION SALARIES,FG,FI,FG
70845000,REFACTURATION DHL SICCA,FG,,
70850000,PORT & FRAIS ANNEXES REFACT FR,FG,FI,FG
70851000,PORT & FRAIS ANNEXES REFACT CEE,FH,FI,FH
70851100,PORT & FRAIS ANNEXES REFACT VOLNEY,FG,FI,FG
70852000,VENTE CUIR,FA,FC,FA
70852100,VENTE CUIRS INTRAGROUPE,FA,FC,FA
70852200,VENTE MAT. 1ERE SANDALES,FB,FC,FB
70852300,VENTE CUIR EXPORT,FB,,
70853000,PORT ET FRAIS ANNEXES HORS UE,FH,FI,FH
70854000,PORT REFACT VOLNEY EXPORT,FH,FI,FH
70855000,PORT REFACT E-SHOP,FG,FI,
70855400,PORT REFACT E-SHOP EXPORT,FH,FI,
70881000,REFACTURATION PRIMES D'ASSURANCES,FG,FI,FG
70911300,REMISE VENTES GALERIES LAFAYETTE,FD,FF,FD
70929000,REMISE DISTRIBUTEUR EXPORT,FE,FF,FE
71331000,VAR. EN-COURS PROD. BIENS,FM,,
71355000,VARIAT. STOCKS PRODUITS,FM,,
71355100,VAR.PROD.BIENS CEINTURE,FM,,
71355200,VARIAT.STOCKS PRODUITS MANUFACTURE,FM,,
71355300,VAR.PROD.BIENS.CEINTURE MANUFACTURE,FM,,
71355400,VAR.PROD.BIEN MAROQUINERIES MANUF,FM,,
71355410,VAR. PROD. BIEN MAROQUINERIE,FM,,
71355500,VAR.PROD.BIEN PETITE MARO.,FM,,
71355600,VAR.PROD.BIEN PETITE MARO. MANUF,FM,,
71355700,VAR.PROD.BIENS SANDALES,FM,,
71355800,VAR.PROD.BIENS.SANDALES.VOLNEY,FM,,
74000001,SUBVENTION D'EXPLOITATION,FO,,
74000002,SUBVENTION D'EXPLOITATION MANUF,FO,,
74010000,SUBV. CONTRATS PROF. MANUF,FO,,
75800000,PROD.DIVERS DE GEST.COUR.,FQ,,
76170000,REVENUS DE CREANCES RAT.PARTICIPAT.,GJ,,
76400000,REVENUS VAL.MOB.PLACEMENT,GL,,
76500000,ESCOMPTE OBTENUE,GL,,
76600000,GAINS DE CHANGE,GN,,
76800000,INTERET BANCAIRE,GL,,
77180000,PROD.EXCEPT./OPER.GESTION,HA,,
77500000,PRODUITS DES CESSIONS D'ACTIFS,HB,,
77510000,PRODUITS DES CESSIONS D'ACTIFS EXP,HB,,
78150000,REP. SUR PROV RISQUE ET CHARGE EXPL,FP,,
78173000,REPR. PROV. DEPR. STOCKS,FP,,
78174000,REPRISE S/PROV DEPRECIATION CREANCE,FP,,
78662000,REPR. PROV. DPREC. IMMO. FINANC.,GM,,
79110000,REMBOURSEMENT SECURITE SOCIAL,FP,,
79111000,REMB SECURITE SOCIALE MANUFACTURE,FP,,
79120000,REFACT SALAIRES LIES AUX FORMATIONS,FP,,
79121000,REFACT SALAIRES FORMATION HORS MANU,FP,,
79130000,REFACT MARKETING EVENT,FP,,
79130100,REFACT MARKETING EVENT EXPORT,FP,,
79140000,TRANSFERT DE CHARGES HK & CHINE,FP,,
79141000,TRANSFERT DE CHARGES EXPENSES,FP,,
79142000,TRANSFERT DE CHARGES D'EXPLOITATION,FP,,
79143000,TRANSFERT DE CHARGES MANUF,FP,,
79150000,REMBOURSEMENT ASSURANCE,FP,,
79160000,REMBOURSEMENT ASSUR MANUFACTURE,FP,,
70704540,,FB,,
